SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
14.54,-0.341855,-0.366352,9.899895,-0.041307,0.001293,0.099794,0.999712,-0.018515,0.015189,-0.001428
14.55,-0.323385,-0.384703,9.912028,-0.023246,-0.016964,0.112031,0.999713,-0.018513,0.01517,-0.001388
14.56,-0.323085,-0.365905,9.899927,-0.023956,0.000728,0.099237,0.999713,-0.01849,0.01514,-0.001401
14.57,-0.353119,-0.377561,9.906021,-0.053572,-0.010956,0.106663,0.999714,-0.01847,0.015139,-0.001407
14.58,-0.335616,-0.39039,9.899914,-0.036191,-0.02433,0.100508,0.999714,-0.018455,0.015142,-0.001383
14.59,-0.365918,-0.402099,9.930441,-0.065887,-0.035433,0.132344,0.999715,-0.018427,0.015134,-0.001417
14.6,-0.360048,-0.396347,9.857195,-0.06199,-0.033031,0.058791,0.999715,-0.018397,0.015138,-0.00141
14.61,-0.329454,-0.384132,9.9121,-0.029543,-0.017551,0.112263,0.999714,-0.018434,0.015145,-0.001399
14.62,-0.341697,-0.378149,9.92433,-0.041434,-0.01199,0.124627,0.999715,-0.018415,0.015147,-0.00141
14.63,-0.335459,-0.365247,9.94875,-0.034232,0.000748,0.148356,0.999715,-0.018375,0.015153,-0.001409
14.64,-0.323565,-0.372378,9.906001,-0.02316,-0.007151,0.10556,0.999715,-0.018389,0.015172,-0.001411
14.65,-0.342137,-0.366072,9.89371,-0.041492,-0.002113,0.093616,0.999715,-0.018364,0.015199,-0.001435
14.66,-0.33597,-0.372541,9.936506,-0.033138,-0.00586,0.136417,0.999714,-0.018395,0.015238,-0.001451
14.67,-0.348923,-0.391146,9.960825,-0.0441,-0.023437,0.161794,0.999713,-0.018408,0.015295,-0.001448
14.68,-0.347895,-0.372084,9.899911,-0.045131,-0.007199,0.100215,0.999713,-0.018392,0.015306,-0.001473
14.69,-0.33555,-0.402264,9.875501,-0.033842,-0.038467,0.076564,0.999713,-0.018381,0.015303,-0.001513
14.7,-0.335602,-0.372113,9.942638,-0.031648,-0.006124,0.142517,0.999713,-0.01837,0.015304,-0.001487
14.71,-0.347427,-0.366113,9.899902,-0.045291,-0.00042,0.099969,0.999713,-0.018407,0.015287,-0.001497
14.72,-0.335919,-0.38438,9.967039,-0.030607,-0.016803,0.167354,0.999712,-0.0184,0.015322,-0.001521
14.73,-0.3114,-0.371926,9.893722,-0.009387,-0.007439,0.092912,0.999713,-0.018389,0.015296,-0.001499
14.74,-0.31079,-0.36626,9.918226,-0.008897,-0.000365,0.11716,0.999713,-0.018404,0.015257,-0.001433
14.75,-0.310132,-0.360303,9.948736,-0.007159,0.006839,0.147396,0.999713,-0.018412,0.015249,-0.001441
14.76,-0.335103,-0.384476,9.973166,-0.0328,-0.016286,0.173444,0.999714,-0.018417,0.0152,-0.001427
14.77,-0.322204,-0.372346,9.960941,-0.019843,-0.004359,0.160396,0.999714,-0.018427,0.015199,-0.001502
14.78,-0.341836,-0.378369,9.936524,-0.039752,-0.011205,0.136826,0.999713,-0.01843,0.015214,-0.001503
14.79,-0.347758,-0.396645,9.912121,-0.047006,-0.030372,0.113303,0.999713,-0.01843,0.015202,-0.001527
14.8,-0.335151,-0.390348,9.899932,-0.035927,-0.025161,0.100507,0.999715,-0.018411,0.015157,-0.00148
14.81,-0.358983,-0.378178,9.930414,-0.05824,-0.010624,0.13123,0.999714,-0.018444,0.015161,-0.001461
14.82,-0.366145,-0.366078,9.948738,-0.064706,0.001706,0.149304,0.999714,-0.018439,0.015165,-0.001458
14.83,-0.323118,-0.384169,9.918228,-0.023215,-0.017859,0.118193,0.999714,-0.018431,0.015149,-0.001477
14.84,-0.329351,-0.390763,9.918215,-0.029683,-0.02368,0.118613,0.999714,-0.018454,0.015135,-0.001425
14.85,-0.329223,-0.372973,9.954816,-0.027594,-0.003406,0.154514,0.999713,-0.018499,0.015159,-0.001513
14.86,-0.317111,-0.384052,9.893826,-0.018088,-0.018395,0.093633,0.999714,-0.018461,0.015142,-0.001453
14.87,-0.341242,-0.377072,9.89382,-0.04193,-0.012148,0.094098,0.999715,-0.01842,0.015145,-0.001429
14.88,-0.347935,-0.384287,9.960945,-0.046198,-0.01691,0.161617,0.999715,-0.018405,0.01516,-0.001461
14.89,-0.311208,-0.371883,9.973152,-0.00939,-0.003964,0.172241,0.999715,-0.018408,0.015155,-0.001489
14.9,-0.311108,-0.390162,9.948754,-0.010217,-0.024298,0.148539,0.999715,-0.01837,0.015148,-0.00146
14.91,-0.341415,-0.384007,9.967031,-0.039823,-0.015684,0.167488,0.999715,-0.018413,0.01515,-0.00146
14.92,-0.317307,-0.354108,9.96704,-0.015541,0.014233,0.165665,0.999714,-0.018431,0.015154,-0.001513
14.93,-0.292492,-0.390712,9.918137,0.006811,-0.024782,0.117417,0.999715,-0.018419,0.015128,-0.001553
14.94,-0.317004,-0.360343,9.954838,-0.017005,0.008099,0.153695,0.999714,-0.01845,0.015102,-0.001622
14.95,-0.334655,-0.378374,9.954863,-0.03494,-0.01147,0.154916,0.999715,-0.018407,0.015085,-0.001603
14.96,-0.353741,-0.372283,9.93043,-0.055024,-0.005599,0.130859,0.999716,-0.018411,0.015071,-0.001626
14.97,-0.322724,-0.396532,9.948748,-0.023924,-0.029688,0.149115,0.999716,-0.0184,0.015053,-0.00161
14.98,-0.335544,-0.365974,9.869399,-0.038973,-0.002349,0.069116,0.999716,-0.018384,0.01505,-0.001669
14.99,-0.329205,-0.372374,9.954821,-0.029997,-0.003912,0.154488,0.999715,-0.018437,0.015051,-0.001643
