SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Acc_X,Acc_Y,Acc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
1.325,-0.006409,-0.00618,0.003662,0.034143,-0.016531,0.082308,0.022227,-0.022237,9.895018,0.999956,0.001576,0.001988,0.009034
1.333333333,-0.005722,0.001602,-0.001144,0.042769,-0.011291,0.118797,0.01504,-0.030106,9.931526,0.999956,0.001552,0.001995,0.009028
1.341666667,-0.000687,-0.002747,0.003662,0.010858,-0.018275,0.060445,0.044058,-0.014677,9.873046,0.999956,0.001549,0.001984,0.00904
1.35,0.003662,-0.003891,-0.00206,0.009762,-0.025447,0.162847,0.044222,-0.007286,9.975471,0.999956,0.001565,0.001967,0.00903
1.358333333,-0.009155,-0.008926,0.002747,0.015394,-0.035404,0.140918,0.036991,-0.00038,9.953612,0.999956,0.001527,0.00193,0.009042
1.366666667,-0.002975,-0.017624,-0.00206,0.037985,-0.010536,0.118832,0.023389,-0.030221,9.931524,0.999956,0.001515,0.001857,0.009025
1.375,-0.000916,0.006638,-0.004578,0.012844,-0.019793,0.119033,0.043671,-0.014685,9.931642,0.999957,0.001511,0.001884,0.009005
1.383333333,0.006866,-0.004349,0,0.010501,-0.003154,0.082385,0.050877,-0.029128,9.894905,0.999957,0.00154,0.001867,0.009001
1.391666667,0.009155,-0.007095,-0.000916,0.031806,-0.008232,0.067716,0.029589,-0.02892,9.880371,0.999957,0.001579,0.001837,0.00899
1.4,-0.008011,0.002975,0.005264,0.020061,-0.021798,0.126198,0.03707,-0.014294,9.93885,0.999957,0.001545,0.00185,0.009004
1.408333333,0.012817,-0.001602,0.001831,0.01029,-0.032511,0.126316,0.044012,0.00053,9.938965,0.999956,0.001599,0.001844,0.009011
1.416666667,-0.010529,-0.001602,0.008926,0.032852,-0.032975,0.111432,0.022153,-0.00673,9.924202,0.999956,0.001555,0.001837,0.009044
1.425,-0.005493,-0.011673,0.003662,0.018439,-0.005605,0.082454,0.044426,-0.029524,9.895017,0.999956,0.001532,0.001788,0.009056
1.433333333,-0.005722,-0.004807,0.002747,0.005293,-0.024792,0.111623,0.052384,-0.008134,9.924201,0.999956,0.001509,0.001768,0.009072
1.441666667,0.00824,-0.008011,-0.001831,0.02294,-0.021901,0.118981,0.036953,-0.014307,9.93164,0.999956,0.001543,0.001735,0.009068
1.45,0.002747,-0.007095,0.008011,0.010117,-0.041591,0.133498,0.044812,0.008009,9.946173,0.999956,0.001555,0.001706,0.009104
1.458333333,0.001144,-0.001831,0,0.005839,-0.032148,0.13368,0.051345,0.000047,9.946289,0.999956,0.00156,0.001699,0.009099
1.466666667,0.002975,-0.002518,0.007324,0.018086,-0.042739,0.111477,0.03684,0.007446,9.924201,0.999956,0.001572,0.001688,0.009121
1.475,-0.003662,-0.010757,0.010986,0.005439,-0.009269,0.111821,0.059038,-0.022127,9.924313,0.999955,0.001557,0.001644,0.009161
1.483333333,-0.003204,0.005264,-0.00206,0.019921,-0.035994,0.148121,0.037204,-0.000476,9.960824,0.999956,0.001544,0.001666,0.009147
1.491666667,-0.003433,0,-0.002747,0.045446,-0.028323,0.126155,0.014649,-0.01479,9.938965,0.999956,0.00153,0.001666,0.009125
1.5,-0.007095,-0.005264,-0.004807,0.039227,-0.027166,0.213975,0.022193,-0.015288,10.02674,0.999956,0.0015,0.001643,0.009099
1.508333333,-0.009155,0.012131,0.009155,0.012347,-0.035863,0.111654,0.043444,-0.00038,9.924319,0.999956,0.001462,0.001694,0.009136
