Time (s),X,Y,Radius
1.8833333333333333,1149,883,48
1.8833333333333333,1219,857,47
1.8833333333333333,1519,883,49
1.8833333333333333,973,883,49
1.8833333333333333,805,889,49
1.8833333333333333,415,883,49
1.8833333333333333,637,863,49
1.8833333333333333,469,883,48
1.8833333333333333,1357,869,48
1.8833333333333333,962,531,16
1.8833333333333333,55,883,48
1.8833333333333333,1795,893,37
1.8833333333333333,932,35,13
1.8833333333333333,1741,895,39
1.8833333333333333,121,899,32
1.8833333333333333,1099,853,33
1.8833333333333333,1039,913,27
1.8833333333333333,271,887,27
1.8833333333333333,987,34,12
1.8833333333333333,1027,839,23
1.8833333333333333,1456,889,21
1.9,959,290,47
1.9,913,869,49
1.9,211,863,49
1.9,1149,883,48
1.9,1219,857,47
1.9,1519,883,49
1.9,973,883,49
1.9,805,889,49
1.9,415,883,49
1.9,637,863,49
1.9,469,883,48
1.9,1357,869,48
1.9,962,531,16
1.9,55,883,48
1.9,1795,893,37
1.9,932,35,13
1.9,1741,895,39
1.9,121,899,32
1.9,1099,853,33
1.9,1039,913,27
1.9,271,887,27
1.9,987,34,12
1.9,1027,839,23
1.9,1456,889,21
1.9166666666666667,958,291,47
1.9166666666666667,913,869,49
1.9166666666666667,211,863,49
1.9166666666666667,1105,883,48
1.9166666666666667,1219,857,47
1.9166666666666667,973,883,49
1.9166666666666667,1519,883,49
1.9166666666666667,805,889,49
1.9166666666666667,415,883,49
1.9166666666666667,637,863,49
1.9166666666666667,469,883,48
1.9166666666666667,1357,869,48
1.9166666666666667,962,531,16
1.9166666666666667,55,883,48
1.9166666666666667,1795,893,37
1.9166666666666667,932,35,13
1.9166666666666667,1741,895,39
1.9166666666666667,121,899,32
1.9166666666666667,1039,913,27
1.9166666666666667,271,887,27
1.9166666666666667,987,34,12
1.9166666666666667,1027,839,23
1.9166666666666667,1456,889,21
1.9333333333333333,959,290,47
1.9333333333333333,913,869,49
1.9333333333333333,211,863,49
1.9333333333333333,1149,883,48
1.9333333333333333,1219,857,47
1.9333333333333333,1519,883,49
1.9333333333333333,973,883,49
1.9333333333333333,805,889,49
1.9333333333333333,415,883,49
1.9333333333333333,637,863,49
1.9333333333333333,469,883,48
1.9333333333333333,1357,869,48
1.9333333333333333,962,531,16
1.9333333333333333,55,883,48
1.9333333333333333,1795,893,37
1.9333333333333333,932,35,13
1.9333333333333333,1741,895,39
1.9333333333333333,121,899,32
1.9333333333333333,1099,853,33
1.9333333333333333,1039,913,27
1.9333333333333333,271,887,27
1.9333333333333333,987,34,12
1.9333333333333333,1027,839,23
1.9333333333333333,1456,889,21
1.95,959,290,47
1.95,913,869,49
1.95,211,863,49
1.95,1149,883,48
1.95,1219,857,47
1.95,1519,883,49
1.95,973,883,49
1.95,805,889,49
1.95,415,883,49
1.95,637,863,49
1.95,469,883,48
1.95,1357,869,48
1.95,962,531,16
1.95,55,883,48
1.95,1795,893,37
1.95,932,35,13
1.95,1741,895,39
1.95,121,899,32
1.95,1099,853,33
1.95,1039,913,27
1.95,271,887,27
1.95,987,34,12
1.95,1027,839,23
1.95,1456,889,21
1.9666666666666666,958,291,47
1.9666666666666666,913,869,49
1.9666666666666666,211,863,49
1.9666666666666666,1105,883,48
1.9666666666666666,1219,857,47
1.9666666666666666,973,883,49
1.9666666666666666,1519,883,49
1.9666666666666666,805,889,49
1.9666666666666666,415,883,49
1.9666666666666666,637,863,49
1.9666666666666666,469,883,48
1.9666666666666666,1357,869,48
1.9666666666666666,962,531,16
1.9666666666666666,55,883,48
1.9666666666666666,1795,893,37
1.9666666666666666,932,35,13
1.9666666666666666,1741,895,39
1.9666666666666666,121,899,32
1.9666666666666666,1039,913,27
1.9666666666666666,271,887,27
1.9666666666666666,987,34,12
1.9666666666666666,1027,839,23
1.9666666666666666,1456,889,21
1.9833333333333334,958,291,47
1.9833333333333334,913,869,49
1.9833333333333334,211,863,49
1.9833333333333334,1149,883,48
1.9833333333333334,1219,857,47
1.9833333333333334,1519,883,49
1.9833333333333334,973,883,49
1.9833333333333334,805,889,49
1.9833333333333334,415,883,49
1.9833333333333334,637,863,49
1.9833333333333334,469,883,48
1.9833333333333334,1357,869,48
1.9833333333333334,962,531,16
1.9833333333333334,55,883,48
1.9833333333333334,1795,893,37
1.9833333333333334,932,35,13
1.9833333333333334,1741,895,39
1.9833333333333334,121,899,32
1.9833333333333334,1099,853,33
1.9833333333333334,1039,913,27
1.9833333333333334,271,887,27
1.9833333333333334,987,34,12
1.9833333333333334,1027,839,23
1.9833333333333334,1456,889,21
2.0,958,291,47
2.0,913,869,49
2.0,211,863,49
2.0,1149,883,48
2.0,1219,857,47
2.0,1519,883,49
2.0,973,883,49
2.0,805,889,49
2.0,415,883,49
2.0,637,863,49
2.0,469,883,48
2.0,1357,869,48
2.0,962,531,16
2.0,55,883,48
2.0,1795,893,37
2.0,932,35,13
2.0,1741,895,39
2.0,121,899,32
2.0,1099,853,33
2.0,1039,913,27
2.0,271,887,27
2.0,987,34,12
2.0,1027,839,23
2.0,1456,889,21
2.0166666666666666,961,291,47
2.0166666666666666,913,869,49
2.0166666666666666,211,863,49
2.0166666666666666,1105,883,48
2.0166666666666666,1219,857,47
2.0166666666666666,973,883,49
2.0166666666666666,1519,883,49
2.0166666666666666,805,889,49
2.0166666666666666,415,883,49
2.0166666666666666,637,863,49
2.0166666666666666,469,883,48
2.0166666666666666,1357,869,48
2.0166666666666666,962,531,16
2.0166666666666666,55,883,48
2.0166666666666666,1795,893,37
2.0166666666666666,932,35,13
